joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.075399,0.105160,0.000100,0.076712,0.023825,0.002335,0.284052,-0.124802,0.000878,0.038713,-0.018525,-0.303806,-0.132004,-0.322497,-0.149943,0.395535,-0.465024,0.099207,-0.014075,-0.371695,0.317427,0.001360,-0.149597,-0.327086,0.591501,-0.269776,-0.268363,0.295600,-0.299423
0.069682,0.103468,0.002554,0.072510,0.024749,0.005005,0.264461,-0.135619,-0.000885,0.040795,-0.020614,-0.259196,-0.097740,-0.321193,-0.144958,0.383656,-0.442749,0.101770,-0.018066,-0.390944,0.317262,0.109080,-0.039043,-0.306352,0.574089,-0.249236,-0.253682,0.264670,-0.282914
0.063152,0.095317,0.005021,0.071112,0.025384,0.008273,0.255005,-0.141341,-0.007137,0.044810,-0.016063,-0.221220,-0.075220,-0.323229,-0.139053,0.373172,-0.418159,0.104495,-0.023259,-0.412122,0.323649,0.232443,0.098353,-0.262336,0.554462,-0.218325,-0.225651,0.228800,-0.254050
0.057260,0.089513,0.007355,0.071968,0.027075,0.010723,0.251505,-0.140515,-0.013881,0.052286,-0.013625,-0.195508,-0.070310,-0.322961,-0.133775,0.352061,-0.389883,0.102785,-0.030561,-0.437233,0.339012,0.387410,0.267728,-0.206772,0.511341,-0.189638,-0.198760,0.200842,-0.240403
0.051688,0.084884,0.009622,0.073951,0.029293,0.012763,0.250985,-0.136414,-0.020872,0.061490,-0.012245,-0.175928,-0.074205,-0.321542,-0.128810,0.325637,-0.359765,0.098859,-0.038917,-0.464309,0.358862,0.558180,0.453092,-0.145434,0.456473,-0.162063,-0.172438,0.176839,-0.234365
0.042876,0.078115,0.015512,0.073607,0.031524,0.013886,0.248555,-0.125254,-0.025874,0.069767,-0.012455,-0.166591,-0.080654,-0.317428,-0.120539,0.288922,-0.331965,0.092545,-0.045769,-0.483029,0.392937,0.748240,0.644342,-0.109747,0.392418,-0.150921,-0.150309,0.151942,-0.205872
0.035926,0.071710,0.019712,0.073127,0.033627,0.015069,0.243069,-0.115815,-0.029856,0.075309,-0.011390,-0.158108,-0.085618,-0.314217,-0.115701,0.254316,-0.304260,0.086861,-0.050497,-0.496310,0.423810,0.926718,0.819351,-0.074667,0.326842,-0.139560,-0.128442,0.123488,-0.168933
0.032700,0.066034,0.020534,0.072375,0.035474,0.016371,0.231469,-0.109816,-0.031795,0.075381,-0.007773,-0.151336,-0.087615,-0.312812,-0.117731,0.223930,-0.276742,0.082436,-0.050976,-0.498714,0.448281,1.082030,0.961876,-0.040800,0.258227,-0.127756,-0.107095,0.087919,-0.115100
0.030312,0.062296,0.022333,0.072050,0.037610,0.018118,0.223484,-0.106803,-0.033921,0.075423,-0.005769,-0.143218,-0.084494,-0.311593,-0.118850,0.203276,-0.255880,0.078322,-0.048717,-0.490641,0.462498,1.192627,1.063766,-0.025055,0.214683,-0.117011,-0.091915,0.064564,-0.080635
0.028344,0.059526,0.024621,0.071939,0.039891,0.020088,0.217306,-0.105284,-0.036140,0.075451,-0.004571,-0.134427,-0.078815,-0.310466,-0.119513,0.187487,-0.238344,0.074363,-0.045088,-0.477331,0.471588,1.280865,1.145337,-0.018370,0.183676,-0.106796,-0.079819,0.047316,-0.055853
0.025522,0.056849,0.026679,0.070801,0.041368,0.022702,0.212566,-0.106424,-0.037467,0.075016,-0.004650,-0.121471,-0.067349,-0.310169,-0.119197,0.182576,-0.229763,0.072852,-0.043886,-0.462989,0.471177,1.326757,1.190658,-0.017324,0.172315,-0.102858,-0.075850,0.033363,-0.040223
0.022607,0.054140,0.028180,0.069652,0.043164,0.025402,0.206782,-0.106901,-0.038626,0.075238,-0.004106,-0.107953,-0.056378,-0.310899,-0.119904,0.179763,-0.222918,0.070872,-0.043178,-0.448147,0.469497,1.369523,1.232952,-0.016250,0.160487,-0.098013,-0.072348,0.018981,-0.027427
