body_0_vel_x,body_0_vel_y,body_0_vel_z
0.010203,-0.047879,0.030976
0.075654,-0.052786,-0.034899
0.047137,-0.056180,-0.013409
-0.009897,-0.062970,0.029572
0.043641,-0.046908,-0.015930
0.070410,-0.038877,-0.038681
0.011688,-0.074919,0.029377
0.016171,-0.059746,0.008168
0.025136,-0.029398,-0.034252
0.030977,-0.072895,0.014307
0.033898,-0.094643,0.038586
-0.024369,-0.027661,-0.012032
-0.013474,-0.047934,-0.014043
0.008316,-0.088481,-0.018066
-0.025313,-0.051001,0.006279
-0.042128,-0.032261,0.018452
-0.035782,-0.095057,-0.029055
-0.029210,-0.078881,-0.006793
-0.016067,-0.046529,0.037732
-0.045301,-0.071684,-0.007542
-0.059917,-0.084262,-0.030178
-0.033440,-0.080535,0.031702
-0.041951,-0.079742,0.008084
-0.058975,-0.078154,-0.039151
-0.078674,-0.092710,0.003824
-0.088524,-0.099987,0.025311
-0.060941,-0.083978,-0.013114
-0.099052,-0.090921,-0.007154
-0.175273,-0.104808,0.004765
-0.110316,-0.108736,-0.002788
-0.077837,-0.110701,-0.006564
-0.189701,-0.081234,0.000002
-0.166343,-0.098712,-0.002080
-0.119629,-0.133667,-0.006242
-0.133649,-0.100046,-0.007920
-0.140659,-0.083235,-0.008758
-0.143437,-0.162855,-0.022137
-0.120687,-0.143845,-0.007511
-0.075189,-0.105823,0.021740
-0.091944,-0.127609,-0.021932
-0.100322,-0.138502,-0.043768
-0.050392,-0.190322,0.011689
-0.046796,-0.170515,0.007116
-0.039605,-0.130902,-0.002031
-0.025107,-0.200589,-0.011190
-0.017858,-0.235432,-0.015770
-0.054088,-0.120385,0.025050
-0.059203,-0.146218,0.015735
-0.069433,-0.197884,-0.002895
-0.065067,-0.124207,0.006468
-0.062884,-0.087369,0.011149
-0.091295,-0.193946,0.016876
-0.091210,-0.169284,0.018673
-0.091041,-0.119960,0.022266
-0.068672,-0.166021,0.028259
-0.057488,-0.189052,0.031255
-0.091048,-0.149958,0.035859
-0.093251,-0.168825,0.040109
-0.097656,-0.206560,0.048609
-0.092180,-0.181720,0.031922
-0.089442,-0.169299,0.023578
-0.063711,-0.168840,0.104368
-0.089701,-0.183325,0.079218
-0.141681,-0.212295,0.028916
-0.125142,-0.177344,0.067270
-0.116872,-0.159868,0.086448
-0.082895,-0.210286,0.038091
-0.104401,-0.202379,0.062628
-0.147412,-0.186567,0.111703
-0.149694,-0.173031,0.089061
-0.150835,-0.166263,0.077739
-0.157418,-0.247313,0.038931
-0.154814,-0.214876,0.070814
-0.149607,-0.150003,0.134579
-0.150669,-0.192544,0.074109
-0.151200,-0.213814,0.043874
-0.150354,-0.189184,0.110555
-0.149883,-0.190529,0.079771
-0.148942,-0.193219,0.018203
-0.165390,-0.188399,0.056305
-0.173613,-0.185990,0.075356
-0.193881,-0.167254,0.030658
-0.208279,-0.162054,0.031024
-0.237075,-0.151654,0.031757
-0.260831,-0.173906,0.020282
-0.272710,-0.185032,0.014545
-0.222843,-0.123988,0.023092
-0.204722,-0.157330,0.006957
-0.168480,-0.224015,-0.025313
-0.148983,-0.165360,0.020303
-0.139235,-0.136032,0.043110
-0.122181,-0.209710,-0.026057
-0.110996,-0.174971,-0.000522
-0.088627,-0.105493,0.050549
-0.118750,-0.157437,0.030549
-0.133811,-0.183409,0.020549
-0.132389,-0.112212,0.002230
-0.109837,-0.126180,-0.000716
-0.064732,-0.154116,-0.006607
-0.077199,-0.082173,-0.003272
-0.083433,-0.046201,-0.001604
-0.043144,-0.139445,-0.038833
-0.062641,-0.096910,-0.028387
-0.101635,-0.011839,-0.007494
-0.051021,-0.038229,-0.007607
-0.025714,-0.051424,-0.007664
-0.095474,0.002987,-0.001370
-0.073467,-0.013566,-0.001757
-0.029452,-0.046672,-0.002530
-0.039040,-0.045237,-0.002863
-0.043834,-0.044519,-0.003029
-0.075103,0.020034,-0.009524
-0.038601,0.001827,-0.012310
0.034402,-0.034586,-0.017883
-0.020049,-0.012858,-0.009390
-0.047274,-0.001994,-0.005143
0.000000,0.000000,0.000000
-0.018947,0.032755,0.008868
