joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.198675,0.017776,0.028940,0.180206,-0.080907,-0.043931,0.023028,-0.347972,0.133209,0.377196,0.318203,0.193377,-0.907240,-0.291562,-0.410045,0.357362,-0.827071,0.113103,-0.144149,-0.422051,0.313934,1.199143,0.461606,-0.063133,0.177196,0.017577,-0.034190,-0.017903,-0.588796
0.196430,0.011649,0.038224,0.180483,-0.082173,-0.047381,0.021827,-0.344717,0.133748,0.376199,0.317984,0.188562,-0.946204,-0.288821,-0.405900,0.372143,-0.843492,0.111160,-0.138340,-0.436783,0.336977,1.210783,0.591644,-0.061759,0.167835,0.016642,-0.016156,-0.008626,-0.601142
0.193802,0.005391,0.044118,0.181323,-0.079491,-0.047651,0.013779,-0.335911,0.135094,0.377067,0.319569,0.181639,-0.988234,-0.292671,-0.401847,0.382379,-0.854698,0.109242,-0.132409,-0.445848,0.363410,1.220968,0.707657,-0.063775,0.177148,0.018037,-0.004565,-0.002837,-0.589862
0.191358,0.000156,0.048773,0.182459,-0.077681,-0.046697,0.005807,-0.331283,0.137138,0.378380,0.321763,0.174356,-1.029743,-0.295980,-0.397022,0.391010,-0.864621,0.107014,-0.127087,-0.453285,0.388456,1.230851,0.815573,-0.065025,0.186718,0.019627,0.004540,0.001617,-0.580411
0.189282,-0.003033,0.050951,0.184183,-0.077616,-0.043297,-0.002013,-0.335011,0.140581,0.380581,0.325174,0.166357,-1.070208,-0.298208,-0.390657,0.396434,-0.871976,0.104167,-0.122983,-0.457465,0.410731,1.240131,0.907299,-0.064743,0.196803,0.021607,0.008674,0.003399,-0.574621
0.188270,-0.005215,0.052659,0.184579,-0.078898,-0.039700,-0.009210,-0.339506,0.145245,0.382227,0.327991,0.159822,-1.107532,-0.297639,-0.386530,0.399414,-0.876547,0.101081,-0.121068,-0.459679,0.432087,1.248017,0.982726,-0.062247,0.199639,0.021925,0.012347,0.002647,-0.562354
0.187788,-0.006895,0.054131,0.184310,-0.080853,-0.036004,-0.016097,-0.344386,0.150518,0.383596,0.330510,0.154020,-1.143284,-0.295670,-0.383522,0.401172,-0.879725,0.097876,-0.120249,-0.460912,0.452984,1.255207,1.050005,-0.058643,0.198852,0.021413,0.015790,0.000628,-0.546849
0.186966,-0.010100,0.055385,0.183983,-0.083622,-0.033624,-0.019965,-0.348300,0.151844,0.385329,0.336558,0.154924,-1.162954,-0.294615,-0.382771,0.402398,-0.881732,0.094857,-0.118282,-0.461377,0.471674,1.260214,1.094507,-0.053979,0.189085,0.020807,0.023089,-0.000047,-0.534069
0.186653,-0.013296,0.057280,0.183365,-0.085745,-0.032168,-0.024003,-0.350814,0.153419,0.386624,0.342175,0.156278,-1.183152,-0.293003,-0.382665,0.404617,-0.883490,0.092505,-0.116736,-0.461561,0.492218,1.265502,1.134439,-0.047641,0.176645,0.020173,0.029500,-0.000061,-0.519021
0.187358,-0.016472,0.060455,0.182166,-0.086575,-0.032562,-0.028379,-0.350525,0.155490,0.387041,0.346933,0.158531,-1.204405,-0.290277,-0.383850,0.408825,-0.884747,0.091488,-0.116031,-0.461179,0.516471,1.271355,1.165233,-0.037952,0.158857,0.019482,0.034137,0.001248,-0.499438
