body_0_w,body_0_x,body_0_y,body_0_z
0.988893,-0.029547,-0.012321,-0.145138
0.989369,-0.030516,-0.010479,-0.141800
0.989609,-0.030114,-0.009232,-0.140295
0.989733,-0.029027,-0.008281,-0.139706
0.989902,-0.028278,-0.006896,-0.138730
0.990287,-0.027509,-0.005733,-0.136171
0.991084,-0.026697,-0.005014,-0.130442
0.991843,-0.025925,-0.004564,-0.124722
0.992566,-0.025171,-0.004248,-0.119004
0.993231,-0.023776,-0.004302,-0.113616
0.993916,-0.022367,-0.004789,-0.107742
0.994658,-0.020931,-0.006139,-0.100897
0.995330,-0.019351,-0.007516,-0.094272
0.995945,-0.017698,-0.008905,-0.087755
0.996638,-0.015728,-0.010875,-0.079668
0.997316,-0.013774,-0.012230,-0.070866
0.998013,-0.011850,-0.012359,-0.060640
0.998561,-0.010177,-0.012771,-0.051078
0.998998,-0.008629,-0.013324,-0.041848
0.999370,-0.007736,-0.014543,-0.031426
0.999611,-0.006987,-0.014961,-0.022463
0.999749,-0.006531,-0.013779,-0.016425
0.999797,-0.006408,-0.014381,-0.012551
0.999806,-0.006451,-0.015873,-0.009758
0.999821,-0.006337,-0.014132,-0.010895
0.999822,-0.006237,-0.012894,-0.012299
0.999799,-0.006164,-0.012665,-0.014237
0.999782,-0.006460,-0.011839,-0.015955
0.999764,-0.006941,-0.010714,-0.017564
0.999785,-0.007464,-0.010501,-0.016241
0.999803,-0.008279,-0.009972,-0.015039
0.999815,-0.009679,-0.008809,-0.014079
0.999816,-0.010591,-0.007848,-0.013926
0.999812,-0.011257,-0.006990,-0.014176
0.999801,-0.011914,-0.006555,-0.014590
0.999785,-0.012411,-0.006247,-0.015383
0.999758,-0.012586,-0.006190,-0.016935
0.999747,-0.012832,-0.006219,-0.017404
0.999744,-0.013113,-0.006291,-0.017332
0.999723,-0.013382,-0.006621,-0.018167
0.999699,-0.013600,-0.006831,-0.019221
0.999668,-0.013716,-0.006801,-0.020712
0.999625,-0.013838,-0.006901,-0.022586
0.999574,-0.013962,-0.007066,-0.024652
0.999500,-0.013867,-0.007568,-0.027394
